[ 00:26:05.957 -->  00:26:06.480] CJ SPEAKER_00
[ 00:26:10.446 -->  00:26:49.731] CK SPEAKER_00
[ 00:26:31.894 -->  00:26:32.299] IR SPEAKER_05
[ 00:26:50.440 -->  00:27:03.332] CL SPEAKER_00
[ 00:27:03.332 -->  00:27:06.269] IS SPEAKER_05
[ 00:27:06.420 -->  00:27:19.245] CM SPEAKER_00
[ 00:27:08.445 -->  00:27:08.715] IT SPEAKER_05
[ 00:27:19.448 -->  00:27:25.962] IU SPEAKER_05
[ 00:27:26.957 -->  00:27:29.269] IV SPEAKER_05
[ 00:27:28.746 -->  00:27:32.425] GO SPEAKER_03
[ 00:27:31.800 -->  00:27:41.959] IW SPEAKER_05
[ 00:27:42.921 -->  00:27:57.788] CN SPEAKER_00
[ 00:28:00.370 -->  00:28:13.920] KT SPEAKER_07
[ 00:28:11.339 -->  00:28:11.980] IX SPEAKER_05
[ 00:28:14.359 -->  00:28:18.814] IY SPEAKER_05
[ 00:28:18.409 -->  00:28:18.494] KU SPEAKER_07
[ 00:28:19.877 -->  00:28:20.620] IZ SPEAKER_05
[ 00:28:20.940 -->  00:28:21.278] KV SPEAKER_07
[ 00:28:22.206 -->  00:28:25.176] JA SPEAKER_05
[ 00:28:25.497 -->  00:28:29.175] KW SPEAKER_07
[ 00:28:30.070 -->  00:28:33.192] CO SPEAKER_00
[ 00:28:34.660 -->  00:28:37.832] KX SPEAKER_07
[ 00:28:37.343 -->  00:28:40.937] JB SPEAKER_05
[ 00:28:38.423 -->  00:28:38.760] KY SPEAKER_07
[ 00:28:40.937 -->  00:29:02.504] CP SPEAKER_00
[ 00:28:57.897 -->  00:28:58.335] JC SPEAKER_05
[ 00:29:03.246 -->  00:29:03.330] CQ SPEAKER_00
[ 00:29:03.330 -->  00:29:16.797] JD SPEAKER_05
[ 00:29:18.180 -->  00:29:22.197] JE SPEAKER_05
[ 00:29:22.197 -->  00:29:25.335] CR SPEAKER_00
[ 00:29:25.926 -->  00:29:29.925] CS SPEAKER_00
[ 00:29:31.748 -->  00:30:11.961] CT SPEAKER_00
[ 00:30:12.974 -->  00:30:12.990] CU SPEAKER_00
[ 00:30:12.990 -->  00:30:15.944] KZ SPEAKER_07
[ 00:30:14.948 -->  00:30:19.335] JV SPEAKER_06
[ 00:30:19.487 -->  00:30:21.495] CV SPEAKER_00
[ 00:30:22.272 -->  00:30:38.033] CW SPEAKER_00
[ 00:30:39.518 -->  00:30:40.058] CX SPEAKER_00
[ 00:30:40.817 -->  00:31:07.193] CY SPEAKER_00
[ 00:31:06.636 -->  00:31:19.748] LA SPEAKER_07
[ 00:31:10.939 -->  00:31:11.260] EX SPEAKER_01
[ 00:31:18.482 -->  00:31:32.792] JF SPEAKER_05
[ 00:31:26.869 -->  00:31:27.004] CZ SPEAKER_00
[ 00:31:27.004 -->  00:31:28.472] EY SPEAKER_01
[ 00:31:32.640 -->  00:31:35.020] LB SPEAKER_07
[ 00:31:35.459 -->  00:31:44.149] JG SPEAKER_05
[ 00:31:45.735 -->  00:31:52.080] LC SPEAKER_07
[ 00:31:47.659 -->  00:31:48.351] JH SPEAKER_05
[ 00:31:47.997 -->  00:31:48.081] JW SPEAKER_06
[ 00:31:51.017 -->  00:31:56.164] JX SPEAKER_06
[ 00:31:57.227 -->  00:32:31.484] JY SPEAKER_06
[ 00:31:58.965 -->  00:32:02.492] JI SPEAKER_05
[ 00:32:01.952 -->  00:32:02.442] EZ SPEAKER_01
[ 00:32:22.759 -->  00:32:24.008] FA SPEAKER_01
[ 00:32:33.002 -->  00:32:51.177] DA SPEAKER_00
[ 00:32:51.244 -->  00:33:09.334] JJ SPEAKER_05
[ 00:32:57.910 -->  00:32:57.994] DB SPEAKER_00
[ 00:33:09.334 -->  00:33:13.553] LD SPEAKER_07
[ 00:33:14.565 -->  00:33:14.734] HS SPEAKER_04
[ 00:33:14.734 -->  00:33:14.751] DC SPEAKER_00
[ 00:33:15.578 -->  00:33:15.932] DD SPEAKER_00
[ 00:33:16.810 -->  00:33:21.923] DE SPEAKER_00
[ 00:33:22.750 -->  00:33:38.798] DF SPEAKER_00
[ 00:33:39.929 -->  00:33:49.210] DG SPEAKER_00
[ 00:33:50.054 -->  00:33:55.352] DH SPEAKER_00
[ 00:33:56.382 -->  00:34:14.978] DI SPEAKER_00
[ 00:34:16.632 -->  00:34:55.917] DJ SPEAKER_00
[ 00:34:57.132 -->  00:34:58.532] DK SPEAKER_00
[ 00:34:57.165 -->  00:35:04.118] HT SPEAKER_04
[ 00:34:57.824 -->  00:34:57.840] FB SPEAKER_01
[ 00:35:03.612 -->  00:35:05.991] DL SPEAKER_00
[ 00:35:07.274 -->  00:35:15.509] DM SPEAKER_00
[ 00:35:14.783 -->  00:35:17.550] HU SPEAKER_04
[ 00:35:18.546 -->  00:35:31.202] DN SPEAKER_00
[ 00:35:23.423 -->  00:35:23.625] FC SPEAKER_01
[ 00:35:31.860 -->  00:35:45.597] DO SPEAKER_00
[ 00:35:46.542 -->  00:35:47.841] DP SPEAKER_00
[ 00:35:48.567 -->  00:35:49.242] DQ SPEAKER_00
[ 00:35:49.832 -->  00:35:55.350] DR SPEAKER_00
[ 00:35:57.021 -->  00:36:37.217] DS SPEAKER_00
[ 00:36:37.521 -->  00:36:42.482] HV SPEAKER_04
[ 00:36:42.499 -->  00:36:52.439] DT SPEAKER_00
[ 00:36:53.637 -->  00:36:58.649] JZ SPEAKER_06
[ 00:37:00.167 -->  00:37:10.900] KA SPEAKER_06
[ 00:37:12.165 -->  00:37:22.830] FD SPEAKER_01
[ 00:37:23.573 -->  00:37:26.172] FE SPEAKER_01
[ 00:37:24.872 -->  00:37:30.694] HW SPEAKER_04
[ 00:37:27.437 -->  00:37:27.775] FF SPEAKER_01
[ 00:37:29.665 -->  00:37:33.749] FG SPEAKER_01
[ 00:37:34.052 -->  00:37:34.322] LE SPEAKER_07
[ 00:37:36.516 -->  00:37:46.050] HX SPEAKER_04
[ 00:37:50.809 -->  00:37:56.648] DU SPEAKER_00
[ 00:37:57.627 -->  00:38:02.892] KB SPEAKER_06
[ 00:38:03.870 -->  00:38:07.431] HY SPEAKER_04
[ 00:38:06.840 -->  00:38:12.190] LF SPEAKER_07
[ 00:38:12.510 -->  00:38:15.582] DV SPEAKER_00
[ 00:38:19.075 -->  00:38:20.324] HZ SPEAKER_04
[ 00:38:20.948 -->  00:38:25.504] IA SPEAKER_04
[ 00:38:25.504 -->  00:38:42.177] DW SPEAKER_00
[ 00:38:42.936 -->  00:39:02.005] DX SPEAKER_00
[ 00:39:02.005 -->  00:39:07.101] IB SPEAKER_04
[ 00:39:07.827 -->  00:39:49.137] DY SPEAKER_00
[ 00:39:25.815 -->  00:39:25.950] FH SPEAKER_01
[ 00:39:50.217 -->  00:39:57.085] DZ SPEAKER_00
[ 00:39:55.515 -->  00:40:03.683] LG SPEAKER_07
[ 00:40:04.139 -->  00:40:05.995] JK SPEAKER_05
[ 00:40:06.923 -->  00:40:07.497] JL SPEAKER_05
[ 00:40:07.497 -->  00:40:21.554] EA SPEAKER_00
[ 00:40:07.598 -->  00:40:09.572] IC SPEAKER_04
[ 00:40:20.929 -->  00:40:29.232] GP SPEAKER_03
[ 00:40:30.143 -->  00:40:34.902] GQ SPEAKER_03
[ 00:40:33.704 -->  00:40:45.398] LH SPEAKER_07
[ 00:40:46.039 -->  00:40:47.339] ID SPEAKER_04
[ 00:40:48.267 -->  00:40:52.131] LI SPEAKER_07
[ 00:40:48.368 -->  00:40:48.722] IE SPEAKER_04
[ 00:40:52.131 -->  00:41:10.997] EB SPEAKER_00
[ 00:41:09.529 -->  00:41:14.406] LJ SPEAKER_07
[ 00:41:13.765 -->  00:41:17.258] IF SPEAKER_04
[ 00:41:18.996 -->  00:41:19.300] FI SPEAKER_01
[ 00:41:21.882 -->  00:41:22.844] LK SPEAKER_07
[ 00:41:25.037 -->  00:41:25.830] LL SPEAKER_07
[ 00:41:28.395 -->  00:41:32.175] KC SPEAKER_06
[ 00:41:32.445 -->  00:41:35.449] EC SPEAKER_00
[ 00:41:34.943 -->  00:41:41.507] KD SPEAKER_06
[ 00:41:41.507 -->  00:41:46.131] LM SPEAKER_07
[ 00:41:46.131 -->  00:42:01.386] ED SPEAKER_00
[ 00:42:00.509 -->  00:42:05.284] KE SPEAKER_06
[ 00:42:05.284 -->  00:42:06.617] EE SPEAKER_00
[ 00:42:08.625 -->  00:42:21.383] EF SPEAKER_00
[ 00:42:22.041 -->  00:42:22.075] EG SPEAKER_00
[ 00:42:22.075 -->  00:42:26.614] LN SPEAKER_07
[ 00:42:26.614 -->  00:42:32.875] EH SPEAKER_00
[ 00:42:34.005 -->  00:42:36.182] EI SPEAKER_00
[ 00:42:34.073 -->  00:42:35.153] LO SPEAKER_07
[ 00:42:38.494 -->  00:42:40.452] LP SPEAKER_07
